SI,Title,Type,Authors,ISBN13,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
P2L4GV52,Storyteller: The Photographs of Duane Michals,Books,"Benedict-Jones, Linda",978-3-7913-6542-8,2014,Carnegie Museum of Art,,NONFICT ARTIST - M,,0,,,2014,,,,
DS5LWK6X,Edward Hopper 1882-1967: transformation of the real,Books,"Renner, Rolf Günter",978-3-8365-0033-3,2015,Taschen,,NONFICT ARTIST - H,Köln,0,,,2015,,,95,
836FDSVI,Symbolism,Books,"Wolf, Norbert",978-3-8365-0706-6,2016,Taschen,,NONFICT EUROPEAN - NORTHERN,,0,,,2016,,,,
C5V4IZZK,Pre-Raphaelites,Books,0,978-3-8365-1965-6,2016,Taschen,,NONFICT EUROPEAN - BRITISH ISLES,Germany,0,,,2016,,,95,
AUV4ELVI,The Blue Reiter,Books,"Düchting, Hajo",978-3-8365-3704-9,2016,Taschen,,NONFICT MODERN,,Der Blaue Reiter,,,2016,,,,
UFW4C9WT,Monet: The Triumph of Impressionism,Books,"Wildenstein, Daniel",978-3-8365-7324-5,2018,,,NONFICT Artist - M,,0,,,2018,,,,
WQZY8X3G,Joan Mitchell: Works on Paper 1956-1992,Books,"Cheim, John",978-3-86521-468-3,2007,The Estate of Joan Mitchell,,NONFICT ARTIST - M,,0,,,2007,,,,
76V3JYDT,Palladio and His Legacy: A Transatlantic Journey,Books,"Hind, Charles and Murray",978-88-317-0652-0,2010,Royal Institute of British Architects,,NONFICT ARTIST - P,,0,,,2010,,,,
MQV2294Q,Thomas Stearns at Venini,Books,"Barovier, Marino and Carla Soego",978-88-572-4100-5,2019,le Stanze del Vetro,,NONFICT ARTIST - S OVERSIZE,,0,,,2019,,,,
4JBQIXGV,Bernini: The Sculptures,Books,"Bernardini, Maria Grazia",978-88-98302-01-7,2013,,,NONFICT Artist - B,,0,,,2013,,,,
X74DNWCA,Frank Hals A Phenomenon,Books,Anton Erftemeijer,978-94-6208-167-3,2014,Naio10,,NONFICT Artist,Rotterdam,0,,,2014,,,,
